combination_number,market,accounts,staking,transactions,TI,mse,rmse,mae,mape
1,0,0,0,0,1,2.6944130581601476e-05,0.005190773601458792,0.003699086784522126,0.08195049146399425
3,0,0,0,1,1,2.6360198117974674e-05,0.005134218355112555,0.0036370855834834508,0.08300070410220979
5,0,0,1,0,1,2.39294638060845e-05,0.004891775118102272,0.0034221754158906166,0.07614823851703242
7,0,0,1,1,1,5.739994750964639e-05,0.007576275305824518,0.005744229996318057,0.1381648869699584
9,0,1,0,0,1,3.7636208951665375e-05,0.006134835690681974,0.0043960282340090254,0.09685798302330416
11,0,1,0,1,1,5.819407031375152e-05,0.0076285038057112824,0.006808867837390547,0.19369649400405883
13,0,1,1,0,1,5.118586215749616e-05,0.007154429548014024,0.005461156878928172,0.12189905482984423
15,0,1,1,1,1,4.706630892699494e-05,0.00686048897142142,0.0053949995054257,0.13823024354625696
16,1,0,0,0,0,2.5876505612618333e-05,0.005086895478837592,0.004211017321176499,0.10530002670344067
17,1,0,0,0,1,2.2627804660081623e-05,0.004756869207796408,0.004115664887722194,0.10701119574994332
18,1,0,0,1,0,7.359536469893471e-05,0.008578774079024036,0.006204436593884557,0.1384792797816845
19,1,0,0,1,1,4.6924774211944364e-05,0.006850165998860492,0.0052170581944700435,0.12860052783531226
20,1,0,1,0,0,2.9718205666709645e-05,0.005451440696431508,0.004922721286743512,0.13210289963167232
21,1,0,1,0,1,2.5172581998971513e-05,0.005017228517714886,0.004418232093968818,0.117465922203827
22,1,0,1,1,0,6.665395445522247e-05,0.008164187311375363,0.007457940948501139,0.20059796986896697
23,1,0,1,1,1,6.126981810006717e-05,0.00782750395081773,0.005775370184579416,0.1358602497661546
24,1,1,0,0,0,0.00010129405113546291,0.010064494579235606,0.007482000389637922,0.1665902705903307
25,1,1,0,0,1,3.9723776682609156e-05,0.0063026801190135895,0.00460300512722738,0.10409317918725
26,1,1,0,1,0,7.811010084060963e-05,0.008837991900913332,0.0064739944120330555,0.1425829741586342
27,1,1,0,1,1,4.624768941694531e-05,0.006800565374801224,0.005472393936299661,0.14272674862695597
28,1,1,1,0,0,0.00010375250258107121,0.010185897239864105,0.007501691554790707,0.16434143502015272
29,1,1,1,0,1,4.7605524739554775e-05,0.006899675698143702,0.005189824932280433,0.11774231852213043
30,1,1,1,1,0,5.5604902260651146e-05,0.007456869467856545,0.0060985192527065165,0.16289909109400894
31,1,1,1,1,1,4.761968171793536e-05,0.006900701538099975,0.005326716157668523,0.13383816752536437
