window_size,train_loss,validation_loss,training_curve,validation_curve
7,0.00518736953381449,0.2203791,"[0.34284597 0.28709164 0.25740426 0.14096295 0.07225955 0.04106281
 0.04150872 0.03397463 0.02291724 0.01969636 0.02174489 0.02896151
 0.03017474 0.02824277 0.02623876 0.02016992 0.01897723 0.01296149
 0.0130439  0.01104291 0.01160356 0.01158695 0.01246824 0.01303501
 0.01415307 0.01408186 0.01473927 0.01345937 0.01358425 0.0115098
 0.01161452 0.01123158 0.01159576 0.01243949 0.01135624 0.01218107
 0.01090576 0.01123148 0.01037066 0.01026163 0.00979858 0.01023163
 0.00974377 0.01043575 0.00914921 0.00911465 0.00900774 0.00863623
 0.00883984 0.0080841  0.00797814 0.00785076 0.00799401 0.00829063
 0.00790888 0.00827409 0.00814718 0.00807485 0.00730108 0.00777928
 0.00659778 0.00671454 0.00646226 0.00633944 0.00640307 0.00630921
 0.00642873 0.00627628 0.00625801 0.00631549 0.00624932 0.00651114
 0.00758    0.00843244 0.00777331 0.00652906 0.00654971 0.00671964
 0.00798852 0.0073782  0.00720291 0.00734965 0.00758529 0.0063634
 0.00632428 0.00561092 0.00576008 0.00543118 0.00568999 0.00535264
 0.00563298 0.00526744 0.00559514 0.00520199 0.00560377 0.0051564
 0.00561156 0.0051516  0.00559908 0.00518737]","[0.6108178  0.4772984  0.42099522 0.34763091 0.32018436 0.31503535
 0.31939799 0.29729502 0.29436111 0.26029137 0.28470557 0.25509335
 0.26434827 0.26499634 0.25061823 0.26342969 0.24002273 0.25044476
 0.22970561 0.23308824 0.22361709 0.22587365 0.21821546 0.22164577
 0.21252907 0.21991021 0.20543683 0.22306252 0.19836675 0.21325885
 0.20158538 0.20739662 0.21056474 0.20817564 0.21894018 0.20717267
 0.21082798 0.20587279 0.20423325 0.20550706 0.20126179 0.20720641
 0.19943354 0.21143989 0.19807881 0.21494987 0.19556348 0.21579122
 0.18560882 0.21023234 0.17939701 0.20023534 0.19411163 0.20793872
 0.20028174 0.2101405  0.20216537 0.20433444 0.2042735  0.20537945
 0.2060842  0.20535006 0.20968418 0.20660819 0.21408445 0.2077256
 0.21798547 0.20779592 0.2163576  0.21198533 0.21021567 0.2218188
 0.20217643 0.2328884  0.19201416 0.21734787 0.20637989 0.2135914
 0.19734579 0.22582395 0.18891545 0.23302082 0.17610755 0.22065219
 0.17381293 0.2005941  0.1903559  0.20026363 0.20088152 0.20275927
 0.20438233 0.2063788  0.20943372 0.21136723 0.21369664 0.21450147
 0.21611142 0.21700883 0.21692031 0.22037908]"
14,0.004680589404112349,0.15462096,"[0.31279985 0.270135   0.15623714 0.07339423 0.04707955 0.04454684
 0.02725897 0.02443114 0.02495299 0.03341058 0.02997847 0.02719482
 0.0258167  0.02269779 0.01432517 0.01155774 0.00985491 0.00962046
 0.00930129 0.00952353 0.01051935 0.01108864 0.01226454 0.01204106
 0.01241525 0.01147982 0.01113645 0.00981536 0.00989275 0.00895158
 0.00964645 0.00833905 0.00886574 0.01029327 0.01021845 0.0088262
 0.00788914 0.00742529 0.00714025 0.00671649 0.00697084 0.00666557
 0.00756333 0.00637983 0.00648819 0.0055463  0.0067027  0.00543613
 0.00573361 0.00548722 0.00521369 0.00512214 0.00497046 0.00528242
 0.0071271  0.00700496 0.0048229  0.00477429 0.0053971  0.00529773
 0.00606253 0.0052576  0.00498288 0.00463905 0.00519106 0.00500761
 0.00490835 0.00490576 0.00477658 0.00520951 0.0052847  0.00514224
 0.00523789 0.00539844 0.00567048 0.00479703 0.00490183 0.00487556
 0.00451913 0.00454869 0.00444298 0.00443527 0.00468884 0.00460308
 0.00455232 0.00442135 0.00485657 0.0044903  0.00484275 0.00454407
 0.00448913 0.00535417 0.00408208 0.00443543 0.00456639 0.00588772
 0.00422184 0.00487402 0.00409367 0.00468059]","[0.69440681 0.51087888 0.34855576 0.30623145 0.30602748 0.29204902
 0.28420574 0.26568508 0.2716693  0.23567225 0.29749568 0.27944278
 0.25607541 0.24414478 0.25495781 0.23477363 0.22809447 0.21585589
 0.21374538 0.20913742 0.20240836 0.20060092 0.19458181 0.19609821
 0.19024171 0.1964096  0.18203018 0.19368563 0.16887319 0.18592347
 0.17522129 0.18184881 0.18636972 0.1814911  0.20776144 0.1767384
 0.18280964 0.17208555 0.17977541 0.1661198  0.17883287 0.16023933
 0.1795604  0.15688789 0.17167062 0.16499056 0.17131165 0.1703674
 0.17052638 0.1691971  0.17102131 0.16965537 0.17060287 0.17105493
 0.17293505 0.20810087 0.17670345 0.18224217 0.16446729 0.1850911
 0.15138542 0.1826641  0.14160955 0.16143666 0.15229225 0.16222996
 0.16343096 0.16134667 0.16359138 0.15980885 0.16450417 0.16064101
 0.16747884 0.16237487 0.17272659 0.16518773 0.17571277 0.16887178
 0.17326403 0.16900114 0.16856806 0.16959277 0.16477439 0.1724688
 0.16315381 0.17480458 0.16266851 0.17558634 0.16049699 0.17400657
 0.15633093 0.17178449 0.15042642 0.17085634 0.13917511 0.1688252
 0.13219466 0.15997446 0.1341704  0.15462096]"
30,0.006056613250014682,0.15064205,"[0.31810192 0.29868619 0.21002972 0.09399952 0.06420241 0.06009318
 0.04161973 0.03576544 0.03383679 0.03919089 0.02972842 0.02633247
 0.02360947 0.02082852 0.01635399 0.01307515 0.01170482 0.01148095
 0.01129975 0.01151445 0.01189185 0.01294984 0.01354068 0.01401084
 0.01369525 0.01320525 0.01217135 0.01245021 0.01093117 0.01116528
 0.01026179 0.01066961 0.01005961 0.01022969 0.01025042 0.01009453
 0.00997326 0.00952781 0.00926268 0.00893366 0.00861817 0.00856208
 0.00824213 0.00838876 0.00830555 0.0089152  0.00893333 0.00967531
 0.00817478 0.00799958 0.00818742 0.00826944 0.00803749 0.00833683
 0.00830206 0.00831378 0.00777931 0.00736727 0.00810875 0.00718866
 0.00715479 0.00698236 0.00694526 0.00693545 0.00681265 0.00681614
 0.0070637  0.00675143 0.00674161 0.00673978 0.00675278 0.00695009
 0.00682749 0.00673771 0.006554   0.0062904  0.00625629 0.00608904
 0.00600078 0.00597227 0.00589571 0.00595538 0.00601097 0.01095294
 0.00785698 0.00884638 0.0117106  0.00615791 0.00742174 0.00658089
 0.00761516 0.00600348 0.00639426 0.00576234 0.00664173 0.00638085
 0.00611345 0.00573515 0.00576683 0.00605661]","[0.65516093 0.49503614 0.40233401 0.3196131  0.3053835  0.29388958
 0.27373633 0.26563916 0.24840857 0.23292562 0.32695502 0.2968173
 0.26374109 0.23069553 0.22511107 0.22510575 0.22253597 0.21641049
 0.20796273 0.20481481 0.19850049 0.19702903 0.18730467 0.1878456
 0.17723158 0.17438432 0.17821453 0.16557303 0.18682025 0.16593569
 0.17499005 0.16686198 0.16826215 0.1635479  0.16408597 0.15917561
 0.16109393 0.15377227 0.16030559 0.14800197 0.15594686 0.1428478
 0.15168293 0.15056205 0.1572564  0.15112841 0.16367736 0.14740629
 0.17034525 0.15434516 0.16000894 0.15094789 0.15512567 0.14819135
 0.15085268 0.15090528 0.14864149 0.14987612 0.14995398 0.14688763
 0.1511001  0.14429439 0.15291868 0.1411899  0.14700386 0.1455118
 0.13634233 0.15061872 0.14166115 0.16268315 0.13864517 0.15789921
 0.13195835 0.15296225 0.1291199  0.14609034 0.1320581  0.13903239
 0.13862588 0.13965251 0.14174623 0.14106888 0.13961409 0.14113998
 0.13754082 0.15864102 0.14056131 0.14504502 0.14086628 0.14477488
 0.14181107 0.14502883 0.140329   0.14749489 0.13958689 0.14932454
 0.13704823 0.15045652 0.13613938 0.15064205]"
45,0.005176832123349111,0.16990578,"[0.35443812 0.33789932 0.19459387 0.10314661 0.07439015 0.06299597
 0.0367596  0.02742535 0.02876779 0.02808463 0.02699441 0.02391834
 0.01980951 0.01573508 0.01291971 0.01185679 0.0115688  0.01138818
 0.01126232 0.01180699 0.01233439 0.01320533 0.01317361 0.01324283
 0.01224146 0.01176434 0.01065327 0.01044107 0.01011842 0.01078599
 0.00956577 0.00967208 0.0098601  0.00992353 0.00944231 0.00938682
 0.00877976 0.00862744 0.00833467 0.00845179 0.00829035 0.00853493
 0.00818051 0.00819169 0.00794995 0.00824597 0.00781155 0.0083242
 0.00766589 0.00759217 0.00723789 0.00690844 0.00682595 0.00689857
 0.00689258 0.0070777  0.00690382 0.00674095 0.00676752 0.00660011
 0.00670187 0.00644536 0.00628064 0.00621225 0.00616074 0.00608831
 0.00656213 0.00667176 0.00609397 0.00593653 0.00582103 0.00588135
 0.00585623 0.00741998 0.00657756 0.006901   0.00572055 0.006015
 0.0060019  0.00842957 0.00825404 0.00670816 0.00669884 0.00625327
 0.00617527 0.00648319 0.0063551  0.00573498 0.00543115 0.00551868
 0.00570696 0.00531015 0.0052105  0.00524106 0.00520741 0.00537502
 0.00508127 0.0051726  0.00497003 0.00517683]","[0.53697253 0.38265457 0.34854084 0.31427032 0.28068893 0.25504389
 0.24647886 0.24456021 0.25167045 0.29202193 0.25958734 0.22839084
 0.22685342 0.2341262  0.21694894 0.21402548 0.20619683 0.20631507
 0.20327905 0.20339201 0.19900895 0.19911126 0.19244563 0.19351528
 0.18450512 0.18861377 0.17540966 0.18302811 0.16741036 0.20536011
 0.16898412 0.1740744  0.16976589 0.17145705 0.16846227 0.16539935
 0.16596328 0.16316674 0.16449049 0.16125479 0.16411188 0.15856599
 0.16323524 0.15581316 0.16251283 0.15277563 0.16255375 0.14914021
 0.16136651 0.14528075 0.15803156 0.14331604 0.1547399  0.14773382
 0.15851301 0.15199408 0.16611053 0.15385943 0.16072939 0.15524085
 0.16485495 0.15428597 0.15881911 0.15529579 0.15703625 0.15972773
 0.1490846  0.16872171 0.14809156 0.15897813 0.15017479 0.16007102
 0.15020005 0.15711307 0.15493325 0.1586179  0.15391458 0.163562
 0.15476551 0.16939142 0.1582884  0.16167078 0.16204236 0.16150375
 0.16881515 0.1559678  0.16501457 0.16068047 0.16356957 0.15802607
 0.16448077 0.16118034 0.16556997 0.16263623 0.16615483 0.16631359
 0.16882235 0.16660598 0.16823675 0.16990579]"
